epoch,train_loss,val_loss,lr,elapsed_sec
1,4.627236,,2.6667e-04,142.7
2,3.278286,,4.0000e-04,143.72
3,3.067506,,4.0000e-04,128.73
4,2.949572,,3.9796e-04,129.21
5,2.8787,2.638149,3.9190e-04,125.98
6,2.812804,,3.8193e-04,141.08
7,2.766397,,3.6825e-04,134.92
8,2.717678,,3.5115e-04,135.32
9,2.68373,,3.3097e-04,126.17
10,2.650801,2.401624,3.0813e-04,123.42
11,2.620073,,2.8308e-04,131.0
12,2.595431,,2.5635e-04,122.12
13,2.574419,,2.2846e-04,125.03
14,2.555185,,2.0000e-04,124.39
15,2.53981,2.287549,1.7154e-04,123.02
16,2.529601,,1.4365e-04,130.94
17,2.513075,,1.1692e-04,122.22
18,2.507233,,9.1872e-05,126.38
19,2.497221,,6.9028e-05,126.01
20,2.488592,2.238386,4.8850e-05,123.46
21,2.484433,,3.1749e-05,131.94
22,2.481915,,1.8074e-05,124.85
23,2.481875,,8.1014e-06,123.64
24,2.478971,,2.0357e-06,122.78
25,2.478289,2.231098,0.0000e+00,122.03
