epoch,train_loss,val_loss,lr,elapsed_sec
1,4.46914,,2.6667e-04,169.07
2,3.232514,,4.0000e-04,168.52
3,3.032176,,4.0000e-04,161.43
4,2.921157,,3.9796e-04,158.56
5,2.840002,2.582369,3.9190e-04,153.0
6,2.768593,,3.8193e-04,159.89
7,2.720667,,3.6825e-04,156.49
8,2.673528,,3.5115e-04,154.55
9,2.63367,,3.3097e-04,153.73
10,2.599941,2.350707,3.0813e-04,151.08
11,2.570238,,2.8308e-04,153.0
12,2.543456,,2.5635e-04,155.06
13,2.523221,,2.2846e-04,154.12
14,2.501783,,2.0000e-04,155.35
15,2.48929,2.243622,1.7154e-04,152.15
16,2.47373,,1.4365e-04,158.31
17,2.459332,,1.1692e-04,153.88
18,2.452237,,9.1872e-05,151.85
19,2.444385,,6.9028e-05,153.71
20,2.438012,2.205815,4.8850e-05,153.33
21,2.431217,,3.1749e-05,154.29
22,2.427868,,1.8074e-05,151.19
23,2.426822,,8.1014e-06,153.5
24,2.422954,,2.0357e-06,151.06
25,2.423138,2.195163,0.0000e+00,151.66
