epoch,train_loss,val_loss,lr,elapsed_sec
1,5.126636,,2.6667e-04,146.3
2,3.174232,,4.0000e-04,139.68
3,2.931038,,4.0000e-04,126.66
4,2.791331,,3.9796e-04,128.26
5,2.690569,2.410633,3.9190e-04,123.93
6,2.604809,,3.8193e-04,137.25
7,2.528329,,3.6825e-04,130.82
8,2.466025,,3.5115e-04,130.99
9,2.406723,,3.3097e-04,131.21
10,2.358742,2.030128,3.0813e-04,125.14
11,2.312996,,2.8308e-04,131.89
12,2.281861,,2.5635e-04,128.51
13,2.251365,,2.2846e-04,133.65
14,2.220374,,2.0000e-04,131.57
15,2.194259,1.838334,1.7154e-04,127.94
16,2.181092,,1.4365e-04,133.67
17,2.159643,,1.1692e-04,129.36
18,2.145937,,9.1872e-05,129.2
19,2.132046,,6.9028e-05,127.31
20,2.120304,1.7591,4.8850e-05,127.03
21,2.118584,,3.1749e-05,132.24
22,2.109675,,1.8074e-05,125.91
23,2.108923,,8.1014e-06,125.88
24,2.1042,,2.0357e-06,127.53
25,2.103751,1.743942,0.0000e+00,126.2
