epoch,train_loss,val_loss,lr,elapsed_sec
1,4.080027,,2.6667e-04,224.53
2,2.991282,,4.0000e-04,226.57
3,2.830053,,4.0000e-04,215.89
4,2.687018,,3.9796e-04,213.94
5,2.573214,2.287687,3.9190e-04,217.05
6,2.483044,,3.8193e-04,223.92
7,2.409323,,3.6825e-04,216.77
8,2.337589,,3.5115e-04,217.19
9,2.282065,,3.3097e-04,218.97
10,2.224835,1.910654,3.0813e-04,214.44
11,2.17627,,2.8308e-04,223.88
12,2.127695,,2.5635e-04,216.89
13,2.086145,,2.2846e-04,217.51
14,2.041635,,2.0000e-04,215.14
15,2.002344,1.833567,1.7154e-04,214.9
16,1.96392,,1.4365e-04,221.01
17,1.930926,,1.1692e-04,214.54
18,1.902714,,9.1872e-05,213.73
19,1.881988,,6.9028e-05,213.77
20,1.865248,1.81609,4.8850e-05,214.0
21,1.84602,,3.1749e-05,218.32
22,1.834858,,1.8074e-05,214.58
23,1.828968,,8.1014e-06,212.67
24,1.824749,,2.0357e-06,213.84
25,1.820585,1.829777,0.0000e+00,208.63
