epoch,train_loss,val_loss,lr,elapsed_sec
1,4.237359,,2.6667e-04,193.43
2,3.022774,,4.0000e-04,187.1
3,2.86215,,4.0000e-04,163.91
4,2.733523,,3.9796e-04,163.72
5,2.624391,2.302759,3.9190e-04,161.19
6,2.540967,,3.8193e-04,188.73
7,2.464669,,3.6825e-04,174.52
8,2.395591,,3.5115e-04,173.96
9,2.332982,,3.3097e-04,172.06
10,2.283465,1.934619,3.0813e-04,171.09
11,2.230438,,2.8308e-04,186.56
12,2.1851,,2.5635e-04,166.47
13,2.141699,,2.2846e-04,168.39
14,2.106491,,2.0000e-04,164.5
15,2.064063,1.81191,1.7154e-04,165.2
16,2.026319,,1.4365e-04,185.17
17,1.996935,,1.1692e-04,168.71
18,1.973089,,9.1872e-05,165.31
19,1.948433,,6.9028e-05,163.61
20,1.925904,1.755759,4.8850e-05,163.5
21,1.912859,,3.1749e-05,183.65
22,1.898043,,1.8074e-05,166.67
23,1.892249,,8.1014e-06,165.44
24,1.888908,,2.0357e-06,162.91
25,1.888905,1.755304,0.0000e+00,162.71
