epoch,train_loss,val_loss,lr,elapsed_sec
1,4.490763,,2.6667e-04,162.23
2,3.244597,,4.0000e-04,161.24
3,3.045442,,4.0000e-04,157.6
4,2.928858,,3.9796e-04,154.56
5,2.846418,2.551356,3.9190e-04,151.64
6,2.78698,,3.8193e-04,158.24
7,2.73429,,3.6825e-04,154.85
8,2.689176,,3.5115e-04,155.37
9,2.653168,,3.3097e-04,153.73
10,2.622033,2.290067,3.0813e-04,154.19
11,2.587501,,2.8308e-04,157.55
12,2.569736,,2.5635e-04,150.45
13,2.543298,,2.2846e-04,148.23
14,2.524333,,2.0000e-04,151.03
15,2.508887,2.157174,1.7154e-04,148.67
16,2.494912,,1.4365e-04,155.44
17,2.4817,,1.1692e-04,149.88
18,2.473397,,9.1872e-05,150.23
19,2.465395,,6.9028e-05,148.03
20,2.45843,2.107665,4.8850e-05,147.35
21,2.454466,,3.1749e-05,151.32
22,2.447156,,1.8074e-05,147.96
23,2.449087,,8.1014e-06,143.03
24,2.441599,,2.0357e-06,145.17
25,2.444379,2.099194,0.0000e+00,144.28
