epoch,train_loss,val_loss,lr,elapsed_sec
1,4.630366,,2.6667e-04,137.25
2,3.281361,,4.0000e-04,128.23
3,3.068043,,4.0000e-04,123.71
4,2.951408,,3.9796e-04,125.57
5,2.873939,2.632745,3.9190e-04,119.97
6,2.809973,,3.8193e-04,134.13
7,2.758389,,3.6825e-04,109.46
8,2.714975,,3.5115e-04,109.71
9,2.675706,,3.3097e-04,107.72
10,2.645148,2.386,3.0813e-04,112.15
11,2.61198,,2.8308e-04,134.75
12,2.585076,,2.5635e-04,108.04
13,2.563587,,2.2846e-04,100.39
14,2.540609,,2.0000e-04,96.88
15,2.526772,2.260005,1.7154e-04,96.29
16,2.511938,,1.4365e-04,134.24
17,2.497587,,1.1692e-04,112.62
18,2.490598,,9.1872e-05,107.51
19,2.479122,,6.9028e-05,108.0
20,2.471542,2.214139,4.8850e-05,104.73
21,2.469592,,3.1749e-05,139.12
22,2.466008,,1.8074e-05,120.53
23,2.459308,,8.1014e-06,104.67
24,2.46014,,2.0357e-06,104.65
25,2.455342,2.202083,0.0000e+00,100.71
