epoch,train_loss,val_loss,lr,elapsed_sec
1,4.684601,,2.6667e-04,161.53
2,3.069193,,4.0000e-04,163.01
3,2.855571,,4.0000e-04,156.48
4,2.721642,,3.9796e-04,157.26
5,2.615826,2.248399,3.9190e-04,156.37
6,2.526355,,3.8193e-04,157.72
7,2.446194,,3.6825e-04,155.01
8,2.383394,,3.5115e-04,153.89
9,2.323647,,3.3097e-04,154.84
10,2.273459,1.832887,3.0813e-04,153.02
11,2.235721,,2.8308e-04,159.69
12,2.197016,,2.5635e-04,153.11
13,2.165429,,2.2846e-04,152.0
14,2.141248,,2.0000e-04,151.53
15,2.117731,1.628309,1.7154e-04,151.4
16,2.099013,,1.4365e-04,159.19
17,2.080822,,1.1692e-04,152.19
18,2.064382,,9.1872e-05,152.53
19,2.056125,,6.9028e-05,150.74
20,2.046678,1.539907,4.8850e-05,147.08
21,2.04059,,3.1749e-05,152.45
22,2.035013,,1.8074e-05,146.63
23,2.031385,,8.1014e-06,143.06
24,2.025294,,2.0357e-06,148.67
25,2.029103,1.526894,0.0000e+00,146.96
