epoch,train_loss,val_loss,lr,elapsed_sec
1,5.488185,,2.6667e-04,167.76
2,3.339171,,4.0000e-04,169.2
3,3.095563,,4.0000e-04,160.8
4,2.963819,,3.9796e-04,163.45
5,2.873193,2.584456,3.9190e-04,164.32
6,2.793984,,3.8193e-04,170.5
7,2.728587,,3.6825e-04,166.91
8,2.677834,,3.5115e-04,163.07
9,2.635635,,3.3097e-04,158.45
10,2.601793,2.318401,3.0813e-04,154.45
11,2.571382,,2.8308e-04,163.63
12,2.545733,,2.5635e-04,158.11
13,2.528686,,2.2846e-04,158.84
14,2.503613,,2.0000e-04,158.22
15,2.485688,2.206113,1.7154e-04,155.59
16,2.46675,,1.4365e-04,159.69
17,2.451229,,1.1692e-04,158.07
18,2.436966,,9.1872e-05,154.24
19,2.421585,,6.9028e-05,152.43
20,2.408672,2.148992,4.8850e-05,153.71
21,2.399652,,3.1749e-05,160.46
22,2.387386,,1.8074e-05,153.75
23,2.386619,,8.1014e-06,151.39
24,2.383559,,2.0357e-06,150.39
25,2.384174,2.140998,0.0000e+00,151.39
