epoch,train_loss,val_loss,lr,elapsed_sec
1,5.142506,,2.6667e-04,143.68
2,3.181723,,4.0000e-04,138.1
3,2.932213,,4.0000e-04,130.79
4,2.794302,,3.9796e-04,122.91
5,2.694751,2.409171,3.9190e-04,124.11
6,2.609669,,3.8193e-04,138.04
7,2.533415,,3.6825e-04,135.75
8,2.4723,,3.5115e-04,134.01
9,2.413346,,3.3097e-04,128.16
10,2.364859,2.024805,3.0813e-04,122.9
11,2.318083,,2.8308e-04,132.4
12,2.286389,,2.5635e-04,127.46
13,2.256101,,2.2846e-04,128.72
14,2.226316,,2.0000e-04,129.15
15,2.20005,1.828299,1.7154e-04,126.17
16,2.185025,,1.4365e-04,134.29
17,2.166208,,1.1692e-04,126.33
18,2.150638,,9.1872e-05,126.43
19,2.137506,,6.9028e-05,125.69
20,2.126121,1.751246,4.8850e-05,125.04
21,2.123943,,3.1749e-05,132.4
22,2.115392,,1.8074e-05,124.84
23,2.115715,,8.1014e-06,125.64
24,2.11,,2.0357e-06,124.51
25,2.109954,1.734392,0.0000e+00,123.14
