epoch,train_loss,val_loss,lr,elapsed_sec
1,4.939814,,2.6667e-04,163.31
2,3.123459,,4.0000e-04,159.49
3,2.89402,,4.0000e-04,158.31
4,2.756594,,3.9796e-04,156.76
5,2.650938,2.294413,3.9190e-04,157.03
6,2.560735,,3.8193e-04,164.09
7,2.482822,,3.6825e-04,159.17
8,2.42229,,3.5115e-04,158.7
9,2.364496,,3.3097e-04,157.2
10,2.315678,1.851123,3.0813e-04,155.6
11,2.27656,,2.8308e-04,159.91
12,2.238647,,2.5635e-04,148.92
13,2.207342,,2.2846e-04,150.79
14,2.182447,,2.0000e-04,148.65
15,2.158102,1.648141,1.7154e-04,150.65
16,2.141639,,1.4365e-04,154.76
17,2.125365,,1.1692e-04,141.31
18,2.111071,,9.1872e-05,142.56
19,2.102344,,6.9028e-05,146.31
20,2.088813,1.56142,4.8850e-05,147.3
21,2.084914,,3.1749e-05,154.02
22,2.077843,,1.8074e-05,145.97
23,2.074341,,8.1014e-06,142.48
24,2.070478,,2.0357e-06,143.26
25,2.071838,1.542301,0.0000e+00,144.16
