epoch,train_loss,val_loss,lr,elapsed_sec
1,4.94682,,2.6667e-04,162.32
2,3.125921,,4.0000e-04,165.7
3,2.89198,,4.0000e-04,153.83
4,2.756174,,3.9796e-04,154.06
5,2.650531,2.302116,3.9190e-04,152.05
6,2.560127,,3.8193e-04,158.44
7,2.481187,,3.6825e-04,154.79
8,2.419375,,3.5115e-04,156.01
9,2.361506,,3.3097e-04,156.13
10,2.313042,1.865165,3.0813e-04,156.88
11,2.272837,,2.8308e-04,158.01
12,2.23663,,2.5635e-04,158.63
13,2.205131,,2.2846e-04,157.68
14,2.180227,,2.0000e-04,158.33
15,2.15596,1.65742,1.7154e-04,155.93
16,2.139683,,1.4365e-04,161.69
17,2.122832,,1.1692e-04,154.09
18,2.108352,,9.1872e-05,152.09
19,2.099699,,6.9028e-05,148.85
20,2.085874,1.573794,4.8850e-05,149.52
21,2.082619,,3.1749e-05,159.21
22,2.075344,,1.8074e-05,150.46
23,2.070563,,8.1014e-06,149.19
24,2.06813,,2.0357e-06,150.0
25,2.069282,1.554567,0.0000e+00,149.93
