epoch,train_loss,val_loss,lr,elapsed_sec
1,4.752211,,2.6667e-04,149.84
2,3.075324,,4.0000e-04,151.7
3,2.864919,,4.0000e-04,149.05
4,2.732838,,3.9796e-04,143.72
5,2.627089,2.370026,3.9190e-04,139.61
6,2.537034,,3.8193e-04,151.47
7,2.458152,,3.6825e-04,139.69
8,2.393171,,3.5115e-04,140.43
9,2.332744,,3.3097e-04,138.85
10,2.284352,1.973863,3.0813e-04,141.72
11,2.240992,,2.8308e-04,147.74
12,2.204587,,2.5635e-04,136.91
13,2.1726,,2.2846e-04,135.89
14,2.146658,,2.0000e-04,139.54
15,2.123706,1.787439,1.7154e-04,134.74
16,2.103592,,1.4365e-04,141.28
17,2.087591,,1.1692e-04,128.07
18,2.07235,,9.1872e-05,128.36
19,2.060526,,6.9028e-05,130.27
20,2.052384,1.715719,4.8850e-05,130.53
21,2.041458,,3.1749e-05,146.99
22,2.039549,,1.8074e-05,134.42
23,2.036539,,8.1014e-06,130.61
24,2.03725,,2.0357e-06,126.43
25,2.031972,1.695098,0.0000e+00,129.22
