epoch,train_loss,val_loss,lr,elapsed_sec
1,4.645594,,2.6667e-04,165.38
2,3.050249,,4.0000e-04,169.04
3,2.842132,,4.0000e-04,165.98
4,2.710599,,3.9796e-04,160.11
5,2.596064,2.313869,3.9190e-04,160.44
6,2.501994,,3.8193e-04,164.36
7,2.423401,,3.6825e-04,161.41
8,2.349882,,3.5115e-04,158.28
9,2.294296,,3.3097e-04,160.39
10,2.242565,1.934252,3.0813e-04,156.35
11,2.199269,,2.8308e-04,162.65
12,2.161764,,2.5635e-04,156.98
13,2.134845,,2.2846e-04,155.18
14,2.105122,,2.0000e-04,154.5
15,2.08459,1.752873,1.7154e-04,154.31
16,2.063954,,1.4365e-04,157.59
17,2.045079,,1.1692e-04,153.34
18,2.031007,,9.1872e-05,150.62
19,2.019551,,6.9028e-05,148.43
20,2.012629,1.690383,4.8850e-05,151.15
21,2.002707,,3.1749e-05,155.64
22,1.995815,,1.8074e-05,152.05
23,1.996181,,8.1014e-06,151.2
24,1.991974,,2.0357e-06,150.63
25,1.989927,1.673708,0.0000e+00,150.73
