epoch,train_loss,val_loss,lr,elapsed_sec
1,4.86675,,2.6667e-04,139.52
2,3.09977,,4.0000e-04,130.46
3,2.886909,,4.0000e-04,128.1
4,2.759215,,3.9796e-04,124.16
5,2.650759,2.366707,3.9190e-04,121.84
6,2.567732,,3.8193e-04,137.68
7,2.486398,,3.6825e-04,128.53
8,2.420192,,3.5115e-04,128.66
9,2.363702,,3.3097e-04,123.71
10,2.317408,2.004096,3.0813e-04,121.74
11,2.271875,,2.8308e-04,131.88
12,2.236801,,2.5635e-04,125.12
13,2.206673,,2.2846e-04,126.11
14,2.179196,,2.0000e-04,120.38
15,2.154397,1.822181,1.7154e-04,120.07
16,2.131174,,1.4365e-04,128.66
17,2.116473,,1.1692e-04,124.61
18,2.102745,,9.1872e-05,123.98
19,2.08881,,6.9028e-05,122.88
20,2.079065,1.767216,4.8850e-05,123.74
21,2.074072,,3.1749e-05,129.28
22,2.066677,,1.8074e-05,120.52
23,2.063216,,8.1014e-06,120.25
24,2.06041,,2.0357e-06,123.9
25,2.062828,1.744279,0.0000e+00,121.18
