subject,baseline_bleu1,twostage_bleu1,baseline_bleu2,twostage_bleu2,baseline_bleu3,twostage_bleu3,baseline_bleu4,twostage_bleu4,baseline_meteor,twostage_meteor,baseline_bertscore_f1,twostage_bertscore_f1
sub-04,0.14019219257884719,0.16214606743292104,0.03906770105704683,0.0463513512765724,0.01808485771951326,0.021240026304845252,0.012086679737831485,0.013548506436786421,0.08595247972761605,0.09720045755550656,0.5933383107185364,0.6055494546890259
sub-05,0.12786821500318138,0.1354863274470046,0.041630852068976425,0.038442469430474815,0.020575422997517565,0.018628131343950197,0.013203069112366341,0.012606780786943302,0.08206666902783273,0.08286882497222996,0.5909997224807739,0.5936017632484436
sub-06,0.14938177406180583,0.1433061610481011,0.04351645601699124,0.04623883245283028,0.02058541561217661,0.02285505974095588,0.013629377008620484,0.014163927130060362,0.09073901439182779,0.08869022789287857,0.5922972559928894,0.599579930305481
sub-07,0.1422123182555174,0.14771389370552732,0.038003419135321924,0.04288203805057283,0.018894771459452113,0.020232736923242192,0.012608518199281046,0.01285285647975652,0.08443261403036667,0.0886949993864066,0.597527027130127,0.6041244268417358
sub-08,0.15021661358415514,0.17708753402322788,0.05158991370796168,0.06409626932368319,0.02794293380558335,0.03367804702865179,0.017862440498954434,0.020371832719718225,0.09899458578706227,0.11559528505298977,0.6060664653778076,0.6096201539039612
sub-09,0.13715091587654754,0.1676813515069559,0.044859613138369996,0.04904408094371185,0.021076903235948134,0.02399227197906099,0.014151812420404399,0.015603399849174655,0.08741874914708647,0.10025514349343707,0.6003395318984985,0.6030588150024414
sub-10,0.13542986307682764,0.1557193052686362,0.039974422402396244,0.04408433456474728,0.020373201847609893,0.020225992652619915,0.013504886636566009,0.012885112047726468,0.08482296261754206,0.09180140567865407,0.5851308703422546,0.6001831889152527
sub-13,0.13529203203315512,0.1497795614713444,0.03756379048184576,0.04045800647272664,0.018121832499282106,0.01878770152280782,0.01204508488438172,0.012591067202871573,0.08276521226438267,0.08990539512568556,0.5917778015136719,0.6002715229988098
sub-14,0.13819435681677267,0.1542459936826666,0.04075197270585251,0.04409901659967387,0.018825625040890623,0.022480011846400215,0.012291789575870076,0.015030335629431896,0.08449125872683554,0.0939414244218559,0.6023736596107483,0.5984711647033691
sub-15,0.11173984915050786,0.15257805683699804,0.024022548303131632,0.03555525248710864,0.012581669186016421,0.017758813055116448,0.009079153796841391,0.011607721190574322,0.06267381904000438,0.08771503193163027,0.5850315093994141,0.5990819334983826
