epoch,train_loss,val_loss,lr,elapsed_sec
1,4.224828,,2.6667e-04,189.29
2,3.026103,,4.0000e-04,191.94
3,2.865344,,4.0000e-04,168.28
4,2.734017,,3.9796e-04,162.01
5,2.627092,2.326794,3.9190e-04,165.94
6,2.540678,,3.8193e-04,194.48
7,2.47203,,3.6825e-04,170.84
8,2.403573,,3.5115e-04,160.48
9,2.341783,,3.3097e-04,163.37
10,2.293817,1.929872,3.0813e-04,159.11
11,2.245738,,2.8308e-04,187.76
12,2.20257,,2.5635e-04,163.64
13,2.162568,,2.2846e-04,152.69
14,2.123658,,2.0000e-04,148.5
15,2.088914,1.782097,1.7154e-04,147.83
16,2.055239,,1.4365e-04,180.18
17,2.026336,,1.1692e-04,145.57
18,2.000502,,9.1872e-05,142.73
19,1.981085,,6.9028e-05,145.69
20,1.959616,1.728821,4.8850e-05,148.08
21,1.942589,,3.1749e-05,180.6
22,1.933039,,1.8074e-05,152.43
23,1.9256,,8.1014e-06,141.27
24,1.919819,,2.0357e-06,146.54
25,1.920485,1.716503,0.0000e+00,143.23
