epoch,train_loss,val_loss,lr,elapsed_sec
1,5.745404,,2.6667e-04,139.88
2,3.429209,,4.0000e-04,132.75
3,3.13704,,4.0000e-04,128.11
4,3.004003,,3.9796e-04,121.06
5,2.912333,2.629411,3.9190e-04,120.23
6,2.840363,,3.8193e-04,138.78
7,2.776684,,3.6825e-04,126.57
8,2.728548,,3.5115e-04,117.06
9,2.685108,,3.3097e-04,117.53
10,2.652914,2.333792,3.0813e-04,106.75
11,2.620649,,2.8308e-04,137.34
12,2.595062,,2.5635e-04,116.49
13,2.57124,,2.2846e-04,100.92
14,2.554003,,2.0000e-04,101.44
15,2.542186,2.218905,1.7154e-04,96.71
16,2.522964,,1.4365e-04,133.33
17,2.507605,,1.1692e-04,115.9
18,2.497166,,9.1872e-05,97.98
19,2.488749,,6.9028e-05,93.4
20,2.473575,2.165402,4.8850e-05,97.45
21,2.465251,,3.1749e-05,132.77
22,2.45681,,1.8074e-05,105.68
23,2.454781,,8.1014e-06,94.04
24,2.450961,,2.0357e-06,92.57
25,2.451474,2.152812,0.0000e+00,96.72
