epoch,train_loss,val_loss,lr,elapsed_sec
1,4.091376,,2.6667e-04,223.93
2,3.000798,,4.0000e-04,218.49
3,2.834643,,4.0000e-04,215.6
4,2.70008,,3.9796e-04,214.97
5,2.591521,2.213616,3.9190e-04,213.96
6,2.504758,,3.8193e-04,221.61
7,2.427941,,3.6825e-04,213.97
8,2.367024,,3.5115e-04,214.41
9,2.3081,,3.3097e-04,215.38
10,2.257921,1.820194,3.0813e-04,211.6
11,2.209409,,2.8308e-04,219.1
12,2.166595,,2.5635e-04,212.84
13,2.119684,,2.2846e-04,210.93
14,2.074202,,2.0000e-04,213.49
15,2.033264,1.647748,1.7154e-04,213.83
16,1.997732,,1.4365e-04,218.26
17,1.967089,,1.1692e-04,211.63
18,1.938276,,9.1872e-05,209.0
19,1.917817,,6.9028e-05,211.13
20,1.901651,1.6114,4.8850e-05,207.57
21,1.88575,,3.1749e-05,220.44
22,1.87373,,1.8074e-05,211.71
23,1.864794,,8.1014e-06,210.32
24,1.863154,,2.0357e-06,211.81
25,1.860431,1.594265,0.0000e+00,211.01
