epoch,train_loss,val_loss,lr,elapsed_sec
1,4.875118,,2.6667e-04,137.3
2,3.10801,,4.0000e-04,137.99
3,2.884117,,4.0000e-04,131.47
4,2.752483,,3.9796e-04,123.98
5,2.646286,2.361421,3.9190e-04,125.9
6,2.559605,,3.8193e-04,139.95
7,2.48211,,3.6825e-04,119.08
8,2.413302,,3.5115e-04,119.04
9,2.356884,,3.3097e-04,114.27
10,2.30385,1.968796,3.0813e-04,107.01
11,2.264478,,2.8308e-04,130.69
12,2.226136,,2.5635e-04,118.8
13,2.192159,,2.2846e-04,109.0
14,2.164322,,2.0000e-04,105.23
15,2.144297,1.777453,1.7154e-04,107.93
16,2.122089,,1.4365e-04,133.04
17,2.104551,,1.1692e-04,114.09
18,2.088353,,9.1872e-05,99.09
19,2.080651,,6.9028e-05,96.84
20,2.06928,1.705105,4.8850e-05,102.03
21,2.059641,,3.1749e-05,134.32
22,2.055709,,1.8074e-05,120.22
23,2.049328,,8.1014e-06,106.29
24,2.051079,,2.0357e-06,95.19
25,2.048989,1.68775,0.0000e+00,96.79
