epoch,train_loss,val_loss,lr,elapsed_sec
1,5.535527,,2.6667e-04,152.94
2,3.389765,,4.0000e-04,152.37
3,3.112009,,4.0000e-04,145.2
4,2.985388,,3.9796e-04,145.16
5,2.890607,2.663658,3.9190e-04,141.22
6,2.813114,,3.8193e-04,152.1
7,2.750445,,3.6825e-04,141.79
8,2.698815,,3.5115e-04,142.27
9,2.658346,,3.3097e-04,140.16
10,2.622924,2.395252,3.0813e-04,143.75
11,2.592738,,2.8308e-04,153.44
12,2.572091,,2.5635e-04,145.14
13,2.550758,,2.2846e-04,143.39
14,2.534083,,2.0000e-04,135.54
15,2.513637,2.27748,1.7154e-04,131.04
16,2.498903,,1.4365e-04,145.55
17,2.48453,,1.1692e-04,133.23
18,2.469806,,9.1872e-05,132.47
19,2.46054,,6.9028e-05,127.89
20,2.445765,2.218053,4.8850e-05,132.06
21,2.438112,,3.1749e-05,148.26
22,2.43244,,1.8074e-05,137.44
23,2.426293,,8.1014e-06,131.68
24,2.423828,,2.0357e-06,131.09
25,2.418695,2.209132,0.0000e+00,131.08
