epoch,train_loss,val_loss,lr,elapsed_sec
1,5.467057,,2.6667e-04,164.57
2,3.365072,,4.0000e-04,163.17
3,3.102947,,4.0000e-04,158.43
4,2.972169,,3.9796e-04,155.24
5,2.879032,2.55486,3.9190e-04,155.14
6,2.806366,,3.8193e-04,159.04
7,2.740964,,3.6825e-04,153.14
8,2.691354,,3.5115e-04,150.97
9,2.648628,,3.3097e-04,152.53
10,2.612743,2.243567,3.0813e-04,155.6
11,2.586874,,2.8308e-04,156.52
12,2.564784,,2.5635e-04,151.35
13,2.536075,,2.2846e-04,147.13
14,2.517476,,2.0000e-04,146.05
15,2.495006,2.119641,1.7154e-04,146.94
16,2.475567,,1.4365e-04,152.07
17,2.458266,,1.1692e-04,149.8
18,2.44403,,9.1872e-05,145.46
19,2.427734,,6.9028e-05,146.25
20,2.413729,2.05034,4.8850e-05,148.12
21,2.408012,,3.1749e-05,154.3
22,2.402031,,1.8074e-05,146.68
23,2.391537,,8.1014e-06,144.12
24,2.392763,,2.0357e-06,143.26
25,2.389637,2.03514,0.0000e+00,144.16
