epoch,train_loss,val_loss,lr,elapsed_sec
1,5.752836,,2.6667e-04,138.61
2,3.413427,,4.0000e-04,130.29
3,3.13256,,4.0000e-04,126.59
4,2.997483,,3.9796e-04,120.55
5,2.909043,2.622568,3.9190e-04,121.02
6,2.833323,,3.8193e-04,143.48
7,2.773109,,3.6825e-04,123.07
8,2.720613,,3.5115e-04,107.38
9,2.680388,,3.3097e-04,112.46
10,2.642654,2.349511,3.0813e-04,104.02
11,2.612047,,2.8308e-04,132.93
12,2.582927,,2.5635e-04,113.83
13,2.561262,,2.2846e-04,105.81
14,2.541057,,2.0000e-04,95.05
15,2.519656,2.218726,1.7154e-04,97.31
16,2.500486,,1.4365e-04,131.59
17,2.481305,,1.1692e-04,107.21
18,2.46368,,9.1872e-05,99.75
19,2.452297,,6.9028e-05,97.75
20,2.435969,2.158306,4.8850e-05,103.62
21,2.431203,,3.1749e-05,135.34
22,2.420565,,1.8074e-05,115.65
23,2.417076,,8.1014e-06,101.66
24,2.412077,,2.0357e-06,95.64
25,2.409218,2.14236,0.0000e+00,101.03
