epoch,train_loss,val_loss,lr,elapsed_sec
1,5.46364,,2.6667e-04,162.95
2,3.360154,,4.0000e-04,164.03
3,3.105328,,4.0000e-04,157.85
4,2.97384,,3.9796e-04,157.94
5,2.880306,2.549107,3.9190e-04,159.77
6,2.803444,,3.8193e-04,161.86
7,2.741003,,3.6825e-04,152.99
8,2.694424,,3.5115e-04,154.28
9,2.652218,,3.3097e-04,155.53
10,2.618161,2.239574,3.0813e-04,155.46
11,2.591171,,2.8308e-04,157.81
12,2.56691,,2.5635e-04,152.04
13,2.543149,,2.2846e-04,153.62
14,2.526099,,2.0000e-04,153.51
15,2.51109,2.103232,1.7154e-04,149.8
16,2.495566,,1.4365e-04,154.11
17,2.482404,,1.1692e-04,147.62
18,2.465355,,9.1872e-05,148.24
19,2.457994,,6.9028e-05,143.17
20,2.443919,2.046,4.8850e-05,142.45
21,2.436685,,3.1749e-05,151.09
22,2.425404,,1.8074e-05,144.07
23,2.423042,,8.1014e-06,142.84
24,2.421317,,2.0357e-06,144.87
25,2.416516,2.033219,0.0000e+00,143.76
