epoch,train_loss,val_loss,lr,elapsed_sec
1,4.670933,,2.6667e-04,159.48
2,3.064041,,4.0000e-04,163.9
3,2.85286,,4.0000e-04,153.96
4,2.721289,,3.9796e-04,151.74
5,2.615885,2.243454,3.9190e-04,149.95
6,2.52634,,3.8193e-04,156.12
7,2.446205,,3.6825e-04,150.03
8,2.3821,,3.5115e-04,146.61
9,2.32381,,3.3097e-04,147.41
10,2.272828,1.824498,3.0813e-04,151.69
11,2.237018,,2.8308e-04,152.58
12,2.197507,,2.5635e-04,145.95
13,2.167461,,2.2846e-04,141.79
14,2.142929,,2.0000e-04,143.5
15,2.118888,1.621398,1.7154e-04,143.54
16,2.100054,,1.4365e-04,151.59
17,2.082257,,1.1692e-04,145.56
18,2.066183,,9.1872e-05,143.37
19,2.05762,,6.9028e-05,141.19
20,2.047688,1.5326,4.8850e-05,138.36
21,2.043869,,3.1749e-05,146.11
22,2.036456,,1.8074e-05,144.44
23,2.032805,,8.1014e-06,142.94
24,2.02778,,2.0357e-06,141.72
25,2.029895,1.512979,0.0000e+00,142.34
