epoch,train_loss,val_loss,lr,elapsed_sec
1,4.104995,,2.6667e-04,217.96
2,3.001918,,4.0000e-04,211.44
3,2.835533,,4.0000e-04,209.03
4,2.695777,,3.9796e-04,207.38
5,2.589835,2.181201,3.9190e-04,208.62
6,2.503112,,3.8193e-04,216.33
7,2.42396,,3.6825e-04,209.68
8,2.364553,,3.5115e-04,208.07
9,2.301005,,3.3097e-04,205.48
10,2.248285,1.780467,3.0813e-04,206.24
11,2.205101,,2.8308e-04,216.27
12,2.163289,,2.5635e-04,208.11
13,2.118824,,2.2846e-04,208.87
14,2.081671,,2.0000e-04,208.4
15,2.04348,1.583308,1.7154e-04,210.0
16,2.00936,,1.4365e-04,219.95
17,1.977903,,1.1692e-04,206.8
18,1.949651,,9.1872e-05,211.04
19,1.930924,,6.9028e-05,205.4
20,1.91071,1.548105,4.8850e-05,203.81
21,1.897799,,3.1749e-05,212.89
22,1.887101,,1.8074e-05,204.54
23,1.879369,,8.1014e-06,200.8
24,1.873402,,2.0357e-06,202.13
25,1.874621,1.534065,0.0000e+00,201.5
