epoch,train_loss,val_loss,lr,elapsed_sec
1,5.135198,,2.6667e-04,138.94
2,3.179106,,4.0000e-04,132.44
3,2.931974,,4.0000e-04,126.91
4,2.792642,,3.9796e-04,124.45
5,2.693495,2.399333,3.9190e-04,117.52
6,2.608593,,3.8193e-04,138.22
7,2.533394,,3.6825e-04,116.5
8,2.471152,,3.5115e-04,115.24
9,2.41443,,3.3097e-04,112.73
10,2.365496,1.999703,3.0813e-04,112.87
11,2.318909,,2.8308e-04,139.0
12,2.287007,,2.5635e-04,113.51
13,2.257249,,2.2846e-04,104.0
14,2.228648,,2.0000e-04,101.52
15,2.204869,1.810992,1.7154e-04,100.13
16,2.189826,,1.4365e-04,134.57
17,2.169608,,1.1692e-04,114.0
18,2.155163,,9.1872e-05,104.27
19,2.141687,,6.9028e-05,103.86
20,2.131471,1.731634,4.8850e-05,102.33
21,2.12868,,3.1749e-05,133.21
22,2.119877,,1.8074e-05,111.63
23,2.119138,,8.1014e-06,104.51
24,2.114689,,2.0357e-06,99.9
25,2.114949,1.710067,0.0000e+00,101.44
