epoch,train_loss,val_loss,lr,elapsed_sec
1,4.944778,,2.6667e-04,164.48
2,3.123898,,4.0000e-04,163.01
3,2.888048,,4.0000e-04,157.86
4,2.751522,,3.9796e-04,155.48
5,2.6476,2.304971,3.9190e-04,153.79
6,2.557731,,3.8193e-04,160.83
7,2.477872,,3.6825e-04,156.7
8,2.416206,,3.5115e-04,153.58
9,2.359128,,3.3097e-04,155.01
10,2.310345,1.871645,3.0813e-04,150.27
11,2.268345,,2.8308e-04,155.57
12,2.2329,,2.5635e-04,145.08
13,2.200934,,2.2846e-04,146.57
14,2.175763,,2.0000e-04,143.3
15,2.152642,1.676209,1.7154e-04,141.64
16,2.135613,,1.4365e-04,151.76
17,2.117702,,1.1692e-04,143.53
18,2.104492,,9.1872e-05,141.01
19,2.095261,,6.9028e-05,143.13
20,2.082225,1.592734,4.8850e-05,143.38
21,2.077101,,3.1749e-05,153.37
22,2.071427,,1.8074e-05,144.44
23,2.066236,,8.1014e-06,145.71
24,2.064612,,2.0357e-06,145.6
25,2.066078,1.576036,0.0000e+00,145.58
