epoch,train_loss,val_loss,lr,elapsed_sec
1,4.685028,,2.6667e-04,162.31
2,3.069327,,4.0000e-04,160.63
3,2.853897,,4.0000e-04,159.27
4,2.719562,,3.9796e-04,157.34
5,2.616746,2.26034,3.9190e-04,154.87
6,2.524801,,3.8193e-04,158.48
7,2.444149,,3.6825e-04,154.02
8,2.379746,,3.5115e-04,155.04
9,2.320644,,3.3097e-04,152.83
10,2.270571,1.853762,3.0813e-04,153.06
11,2.232996,,2.8308e-04,159.77
12,2.193214,,2.5635e-04,151.35
13,2.163298,,2.2846e-04,151.27
14,2.137101,,2.0000e-04,152.61
15,2.114266,1.665298,1.7154e-04,152.0
16,2.095051,,1.4365e-04,157.22
17,2.077387,,1.1692e-04,148.73
18,2.06145,,9.1872e-05,149.45
19,2.053752,,6.9028e-05,147.17
20,2.042876,1.584227,4.8850e-05,150.46
21,2.037166,,3.1749e-05,156.73
22,2.030394,,1.8074e-05,148.1
23,2.027869,,8.1014e-06,142.97
24,2.022766,,2.0357e-06,140.93
25,2.02544,1.56776,0.0000e+00,141.67
