epoch,train_loss,val_loss,lr,elapsed_sec
1,4.860001,,2.6667e-04,143.1
2,3.101941,,4.0000e-04,139.21
3,2.886756,,4.0000e-04,125.13
4,2.759971,,3.9796e-04,123.55
5,2.652167,2.37295,3.9190e-04,123.94
6,2.565609,,3.8193e-04,134.55
7,2.485152,,3.6825e-04,129.24
8,2.418221,,3.5115e-04,127.12
9,2.359912,,3.3097e-04,128.86
10,2.31227,1.99888,3.0813e-04,122.69
11,2.265916,,2.8308e-04,132.44
12,2.229029,,2.5635e-04,120.8
13,2.196424,,2.2846e-04,120.56
14,2.169038,,2.0000e-04,123.36
15,2.144053,1.820995,1.7154e-04,124.97
16,2.122255,,1.4365e-04,133.59
17,2.104686,,1.1692e-04,126.78
18,2.090216,,9.1872e-05,124.53
19,2.075434,,6.9028e-05,124.24
20,2.065706,1.75796,4.8850e-05,123.97
21,2.059786,,3.1749e-05,131.17
22,2.053907,,1.8074e-05,124.78
23,2.048387,,8.1014e-06,126.15
24,2.045461,,2.0357e-06,123.16
25,2.046752,1.737219,0.0000e+00,122.87
