epoch,train_loss,val_loss,lr,elapsed_sec
1,4.625924,,2.6667e-04,137.9
2,3.278658,,4.0000e-04,129.81
3,3.070486,,4.0000e-04,124.93
4,2.951332,,3.9796e-04,119.56
5,2.880164,2.624047,3.9190e-04,121.57
6,2.814043,,3.8193e-04,136.62
7,2.768277,,3.6825e-04,110.39
8,2.719791,,3.5115e-04,106.35
9,2.68495,,3.3097e-04,104.65
10,2.651487,2.387233,3.0813e-04,110.47
11,2.620618,,2.8308e-04,134.98
12,2.59567,,2.5635e-04,119.25
13,2.57477,,2.2846e-04,108.07
14,2.555881,,2.0000e-04,97.25
15,2.540199,2.262901,1.7154e-04,92.96
16,2.530026,,1.4365e-04,132.09
17,2.51375,,1.1692e-04,115.12
18,2.507108,,9.1872e-05,105.31
19,2.49702,,6.9028e-05,93.38
20,2.488246,2.217604,4.8850e-05,90.24
21,2.484435,,3.1749e-05,134.19
22,2.482147,,1.8074e-05,110.96
23,2.481691,,8.1014e-06,103.87
24,2.479209,,2.0357e-06,96.67
25,2.479085,2.208232,0.0000e+00,94.27
