epoch,train_loss,val_loss,lr,elapsed_sec
1,5.53383,,2.6667e-04,162.57
2,3.360899,,4.0000e-04,160.25
3,3.103811,,4.0000e-04,154.59
4,2.969853,,3.9796e-04,155.16
5,2.87558,2.547544,3.9190e-04,156.75
6,2.799127,,3.8193e-04,159.58
7,2.739172,,3.6825e-04,149.93
8,2.692869,,3.5115e-04,151.09
9,2.649832,,3.3097e-04,148.74
10,2.615757,2.242017,3.0813e-04,151.71
11,2.588794,,2.8308e-04,155.97
12,2.564796,,2.5635e-04,148.59
13,2.54104,,2.2846e-04,145.47
14,2.5234,,2.0000e-04,146.08
15,2.509011,2.110865,1.7154e-04,146.59
16,2.492643,,1.4365e-04,154.47
17,2.479475,,1.1692e-04,146.42
18,2.463765,,9.1872e-05,144.82
19,2.455744,,6.9028e-05,143.21
20,2.44217,2.053485,4.8850e-05,144.87
21,2.43502,,3.1749e-05,153.72
22,2.424447,,1.8074e-05,148.19
23,2.421215,,8.1014e-06,143.58
24,2.419996,,2.0357e-06,143.64
25,2.415776,2.048736,0.0000e+00,142.41
