epoch,train_loss,val_loss,lr,elapsed_sec
1,4.105962,,2.6667e-04,221.35
2,3.001343,,4.0000e-04,215.53
3,2.836727,,4.0000e-04,213.24
4,2.698126,,3.9796e-04,212.65
5,2.589822,2.183975,3.9190e-04,210.99
6,2.50507,,3.8193e-04,221.13
7,2.425889,,3.6825e-04,213.13
8,2.365665,,3.5115e-04,210.42
9,2.302987,,3.3097e-04,209.99
10,2.249106,1.77827,3.0813e-04,208.95
11,2.205182,,2.8308e-04,216.61
12,2.162374,,2.5635e-04,207.66
13,2.118545,,2.2846e-04,206.2
14,2.083211,,2.0000e-04,207.58
15,2.046392,1.612783,1.7154e-04,204.03
16,2.01372,,1.4365e-04,213.45
17,1.982781,,1.1692e-04,207.49
18,1.955561,,9.1872e-05,207.54
19,1.938897,,6.9028e-05,208.59
20,1.918828,1.619985,4.8850e-05,209.07
21,1.904862,,3.1749e-05,217.91
22,1.894314,,1.8074e-05,209.44
23,1.887842,,8.1014e-06,209.63
24,1.882015,,2.0357e-06,209.58
25,1.883057,1.593103,0.0000e+00,208.29
