epoch,train_loss,val_loss,lr,elapsed_sec
1,4.681732,,2.6667e-04,163.47
2,3.064776,,4.0000e-04,162.04
3,2.854817,,4.0000e-04,153.9
4,2.719842,,3.9796e-04,155.1
5,2.610446,2.274119,3.9190e-04,152.24
6,2.521324,,3.8193e-04,161.84
7,2.442719,,3.6825e-04,155.78
8,2.378019,,3.5115e-04,153.05
9,2.320658,,3.3097e-04,153.66
10,2.272672,1.818608,3.0813e-04,153.91
11,2.230592,,2.8308e-04,157.27
12,2.195507,,2.5635e-04,149.44
13,2.165398,,2.2846e-04,149.94
14,2.136284,,2.0000e-04,149.55
15,2.115859,1.618593,1.7154e-04,148.29
16,2.091425,,1.4365e-04,151.07
17,2.076305,,1.1692e-04,149.54
18,2.063516,,9.1872e-05,143.08
19,2.048628,,6.9028e-05,142.27
20,2.045175,1.528649,4.8850e-05,145.2
21,2.034018,,3.1749e-05,149.69
22,2.030607,,1.8074e-05,144.65
23,2.026262,,8.1014e-06,144.59
24,2.024403,,2.0357e-06,147.18
25,2.021933,1.515014,0.0000e+00,144.88
