epoch,train_loss,val_loss,lr,elapsed_sec
1,4.625831,,2.6667e-04,150.85
2,3.277693,,4.0000e-04,147.31
3,3.067002,,4.0000e-04,128.8
4,2.94648,,3.9796e-04,123.06
5,2.874988,2.638803,3.9190e-04,121.9
6,2.809078,,3.8193e-04,133.04
7,2.763044,,3.6825e-04,125.68
8,2.714453,,3.5115e-04,124.52
9,2.679184,,3.3097e-04,124.26
10,2.646325,2.398752,3.0813e-04,121.53
11,2.614861,,2.8308e-04,127.76
12,2.589027,,2.5635e-04,124.17
13,2.567313,,2.2846e-04,127.93
14,2.548557,,2.0000e-04,125.98
15,2.531645,2.282131,1.7154e-04,123.54
16,2.521406,,1.4365e-04,133.05
17,2.504544,,1.1692e-04,125.88
18,2.498393,,9.1872e-05,125.39
19,2.487684,,6.9028e-05,126.01
20,2.479026,2.237602,4.8850e-05,124.54
21,2.474734,,3.1749e-05,129.69
22,2.472902,,1.8074e-05,123.49
23,2.472205,,8.1014e-06,122.32
24,2.469746,,2.0357e-06,125.69
25,2.469044,2.226807,0.0000e+00,121.27
