epoch,train_loss,val_loss,lr,elapsed_sec
1,4.489398,,2.6667e-04,161.85
2,3.244133,,4.0000e-04,163.97
3,3.044384,,4.0000e-04,157.76
4,2.927972,,3.9796e-04,153.85
5,2.846816,2.562707,3.9190e-04,151.0
6,2.786886,,3.8193e-04,159.85
7,2.733394,,3.6825e-04,154.34
8,2.687912,,3.5115e-04,155.8
9,2.65158,,3.3097e-04,151.64
10,2.620618,2.297435,3.0813e-04,151.05
11,2.58551,,2.8308e-04,155.83
12,2.567091,,2.5635e-04,152.0
13,2.540954,,2.2846e-04,151.48
14,2.521327,,2.0000e-04,145.53
15,2.506144,2.168629,1.7154e-04,141.35
16,2.491949,,1.4365e-04,151.54
17,2.478969,,1.1692e-04,142.97
18,2.470506,,9.1872e-05,141.97
19,2.462517,,6.9028e-05,139.74
20,2.455438,2.119595,4.8850e-05,142.15
21,2.451369,,3.1749e-05,150.79
22,2.444218,,1.8074e-05,144.46
23,2.445861,,8.1014e-06,143.98
24,2.438627,,2.0357e-06,144.79
25,2.441412,2.110223,0.0000e+00,141.09
