tag,subject,variant,variant_display,seed,freeze_eeg,epochs,effective_batch_size,lr,best_epoch,best_val_loss,total_train_minutes,total_params_M,trainable_params_M,projection_params_M,bleu1,bleu2,bleu3,bleu4,meteor,bertscore_p,bertscore_r,bertscore_f1
main,sub-04,linear_multi,Joint Linear (Ours),42,True,25,128,0.0004,25,1.744279,54.44,146.648,5.012,4.503,0.16214606743292104,0.0463513512765724,0.021240026304845252,0.013548506436786421,0.09720045755550656,0.6161637306213379,0.5957542061805725,0.6055494546890259
main,sub-04,multi_token,Independent Heads,42,True,25,128,0.0004,25,1.734392,55.91,146.63,4.994,4.485,0.143817647687534,0.04093956709660772,0.019115136132433253,0.01249855742705246,0.08457994203984617,0.6165967583656311,0.5884948372840881,0.6019802689552307
main,sub-04,single_token,Single Token,42,True,25,128,0.0004,25,2.231098,55.48,146.606,4.97,4.462,0.13457995143884877,0.03738323650068661,0.017786773380570914,0.01208698904677069,0.07885890402270716,0.6303578615188599,0.578082263469696,0.6028227806091309
main,sub-04,transformer,Transformer,42,True,25,128,0.0004,25,2.18511,54.62,147.083,5.447,4.939,0.16987682785696095,0.045761742380077644,0.021002735076124778,0.013766869319072774,0.10487934680596463,0.6232441067695618,0.5752791166305542,0.5980885624885559
main,sub-05,linear_multi,Joint Linear (Ours),42,True,25,128,0.0004,25,1.737219,54.93,146.648,5.012,4.503,0.1354863274470046,0.038442469430474815,0.018628131343950197,0.012606780786943302,0.08286882497222996,0.6120668649673462,0.5766741037368774,0.5936017632484436
main,sub-05,multi_token,Independent Heads,42,True,25,128,0.0004,25,1.743942,56.29,146.63,4.994,4.485,0.13743890332120334,0.04154509125825979,0.019485534380782578,0.012909190824548946,0.08533732557572905,0.6140821576118469,0.5871387720108032,0.6000931859016418
main,sub-05,single_token,Single Token,42,True,25,128,0.0004,25,2.226807,55.0,146.606,4.97,4.462,0.12875205091336087,0.03632777509882456,0.017662994877653247,0.012106520445512432,0.07886256345819986,0.626579761505127,0.5758557915687561,0.5998682975769043
main,sub-05,transformer,Transformer,42,True,25,128,0.0004,25,2.186524,55.36,147.083,5.447,4.939,0.1624613968185596,0.04403634283078356,0.020699743701553648,0.013484127198888434,0.0963817497424148,0.6285322308540344,0.5808742642402649,0.6034415364265442
main,sub-06,linear_multi,Joint Linear (Ours),42,True,25,128,0.0004,25,1.701997,50.16,146.648,5.012,4.503,0.1433061610481011,0.04623883245283028,0.02285505974095588,0.014163927130060362,0.08869022789287857,0.6217585802078247,0.5795372724533081,0.599579930305481
main,sub-06,multi_token,Independent Heads,42,True,25,128,0.0004,25,1.710067,50.55,146.63,4.994,4.485,0.13790905532245767,0.041515068720601185,0.02122708493384834,0.013326046611533415,0.08316455971588183,0.614852786064148,0.5741305351257324,0.5934796333312988
