epoch,train_loss,val_loss,lr,elapsed_sec
1,5.009927,,2.6667e-04,154.61
2,3.148404,,4.0000e-04,156.65
3,2.898324,,4.0000e-04,150.3
4,2.76589,,3.9796e-04,148.77
5,2.659203,2.434428,3.9190e-04,148.81
6,2.57132,,3.8193e-04,154.99
7,2.50047,,3.6825e-04,147.33
8,2.432302,,3.5115e-04,147.99
9,2.374927,,3.3097e-04,146.28
10,2.328066,2.019635,3.0813e-04,144.77
11,2.284749,,2.8308e-04,151.16
12,2.246408,,2.5635e-04,139.29
13,2.216981,,2.2846e-04,137.3
14,2.190037,,2.0000e-04,135.61
15,2.170162,1.823283,1.7154e-04,133.44
16,2.146723,,1.4365e-04,146.89
17,2.132648,,1.1692e-04,133.89
18,2.119264,,9.1872e-05,131.08
19,2.110455,,6.9028e-05,129.6
20,2.096712,1.727454,4.8850e-05,129.81
21,2.092377,,3.1749e-05,146.45
22,2.089436,,1.8074e-05,133.64
23,2.083873,,8.1014e-06,130.33
24,2.079789,,2.0357e-06,132.08
25,2.080615,1.712443,0.0000e+00,130.66
