epoch,train_loss,val_loss,lr,elapsed_sec
1,4.489798,,2.6667e-04,158.49
2,3.2451,,4.0000e-04,159.29
3,3.047963,,4.0000e-04,158.25
4,2.931123,,3.9796e-04,153.3
5,2.849213,2.552334,3.9190e-04,152.15
6,2.789684,,3.8193e-04,162.54
7,2.73623,,3.6825e-04,150.7
8,2.691068,,3.5115e-04,152.61
9,2.655154,,3.3097e-04,155.72
10,2.624018,2.285663,3.0813e-04,151.54
11,2.589699,,2.8308e-04,155.92
12,2.571729,,2.5635e-04,150.05
13,2.546054,,2.2846e-04,150.09
14,2.526998,,2.0000e-04,150.96
15,2.511408,2.155306,1.7154e-04,148.46
16,2.497597,,1.4365e-04,152.35
17,2.484737,,1.1692e-04,148.1
18,2.476101,,9.1872e-05,147.36
19,2.468589,,6.9028e-05,145.53
20,2.461487,2.101424,4.8850e-05,144.15
21,2.457624,,3.1749e-05,153.21
22,2.450591,,1.8074e-05,144.16
23,2.452106,,8.1014e-06,143.01
24,2.445058,,2.0357e-06,141.15
25,2.447884,2.09181,0.0000e+00,138.8
