epoch,train_loss,val_loss,lr,elapsed_sec
1,4.238297,,2.6667e-04,189.43
2,3.021524,,4.0000e-04,180.96
3,2.863718,,4.0000e-04,174.72
4,2.734311,,3.9796e-04,175.24
5,2.626668,2.302045,3.9190e-04,173.38
6,2.543183,,3.8193e-04,196.35
7,2.469487,,3.6825e-04,184.89
8,2.406844,,3.5115e-04,172.06
9,2.351589,,3.3097e-04,164.28
10,2.309093,1.952029,3.0813e-04,164.19
11,2.257387,,2.8308e-04,178.94
12,2.219082,,2.5635e-04,175.62
13,2.177338,,2.2846e-04,172.21
14,2.143913,,2.0000e-04,170.93
15,2.104239,1.826233,1.7154e-04,168.44
16,2.071,,1.4365e-04,181.88
17,2.043801,,1.1692e-04,174.6
18,2.023676,,9.1872e-05,169.9
19,1.998332,,6.9028e-05,171.39
20,1.980738,1.793378,4.8850e-05,168.02
21,1.970374,,3.1749e-05,179.63
22,1.955479,,1.8074e-05,171.52
23,1.949081,,8.1014e-06,173.51
24,1.946585,,2.0357e-06,173.29
25,1.947939,1.781267,0.0000e+00,169.68
