epoch,train_loss,val_loss,lr,elapsed_sec
1,4.539387,,2.6667e-04,151.74
2,3.254704,,4.0000e-04,149.68
3,3.049256,,4.0000e-04,147.83
4,2.93417,,3.9796e-04,144.2
5,2.856549,2.663109,3.9190e-04,143.53
6,2.795823,,3.8193e-04,154.7
7,2.742381,,3.6825e-04,145.65
8,2.699803,,3.5115e-04,143.54
9,2.660871,,3.3097e-04,142.37
10,2.627043,2.421056,3.0813e-04,139.62
11,2.597043,,2.8308e-04,150.15
12,2.57255,,2.5635e-04,139.33
13,2.548773,,2.2846e-04,136.59
14,2.527979,,2.0000e-04,135.84
15,2.513402,2.314009,1.7154e-04,130.56
16,2.504379,,1.4365e-04,146.36
17,2.491772,,1.1692e-04,133.98
18,2.480069,,9.1872e-05,131.15
19,2.474606,,6.9028e-05,126.32
20,2.46424,2.272312,4.8850e-05,126.11
21,2.461752,,3.1749e-05,143.45
22,2.458057,,1.8074e-05,130.1
23,2.455892,,8.1014e-06,125.78
24,2.453821,,2.0357e-06,127.39
25,2.451271,2.266949,0.0000e+00,128.0
