epoch,train_loss,val_loss,lr,elapsed_sec
1,5.153118,,2.6667e-04,140.44
2,3.184725,,4.0000e-04,132.33
3,2.921904,,4.0000e-04,123.63
4,2.786864,,3.9796e-04,125.95
5,2.688412,2.402465,3.9190e-04,124.35
6,2.59623,,3.8193e-04,146.35
7,2.522843,,3.6825e-04,125.46
8,2.456322,,3.5115e-04,120.25
9,2.399542,,3.3097e-04,120.83
10,2.34618,1.98784,3.0813e-04,114.03
11,2.307127,,2.8308e-04,140.54
12,2.26969,,2.5635e-04,122.13
13,2.235642,,2.2846e-04,120.15
14,2.208214,,2.0000e-04,111.74
15,2.183065,1.781136,1.7154e-04,106.34
16,2.16274,,1.4365e-04,139.18
17,2.145931,,1.1692e-04,121.34
18,2.130512,,9.1872e-05,100.26
19,2.118673,,6.9028e-05,95.94
20,2.109572,1.69138,4.8850e-05,97.05
21,2.101685,,3.1749e-05,135.3
22,2.095978,,1.8074e-05,107.02
23,2.091614,,8.1014e-06,106.45
24,2.0914,,2.0357e-06,101.2
25,2.086257,1.679445,0.0000e+00,99.95
