epoch,train_loss,val_loss,lr,elapsed_sec
1,4.950832,,2.6667e-04,166.62
2,3.129824,,4.0000e-04,168.57
3,2.88796,,4.0000e-04,158.14
4,2.754193,,3.9796e-04,155.58
5,2.641775,2.308509,3.9190e-04,155.16
6,2.557286,,3.8193e-04,162.57
7,2.477797,,3.6825e-04,154.18
8,2.409983,,3.5115e-04,154.98
9,2.356458,,3.3097e-04,151.9
10,2.303651,1.857677,3.0813e-04,147.52
11,2.262238,,2.8308e-04,155.25
12,2.226432,,2.5635e-04,151.16
13,2.195978,,2.2846e-04,147.42
14,2.167197,,2.0000e-04,152.93
15,2.149052,1.632661,1.7154e-04,151.7
16,2.125985,,1.4365e-04,155.54
17,2.109259,,1.1692e-04,151.11
18,2.096473,,9.1872e-05,148.61
19,2.084567,,6.9028e-05,152.6
20,2.072906,1.551298,4.8850e-05,149.1
21,2.069343,,3.1749e-05,154.39
22,2.064917,,1.8074e-05,151.59
23,2.061274,,8.1014e-06,146.16
24,2.059332,,2.0357e-06,146.14
25,2.056738,1.528699,0.0000e+00,149.75
