epoch,train_loss,val_loss,lr,elapsed_sec
1,4.112864,,2.6667e-04,222.76
2,3.002127,,4.0000e-04,218.21
3,2.836985,,4.0000e-04,208.92
4,2.698308,,3.9796e-04,213.57
5,2.590198,2.187931,3.9190e-04,210.5
6,2.503552,,3.8193e-04,219.48
7,2.424714,,3.6825e-04,210.77
8,2.363743,,3.5115e-04,207.79
9,2.299905,,3.3097e-04,209.12
10,2.24577,1.793726,3.0813e-04,210.9
11,2.201367,,2.8308e-04,221.48
12,2.156812,,2.5635e-04,212.16
13,2.111642,,2.2846e-04,210.31
14,2.073678,,2.0000e-04,212.37
15,2.037025,1.621216,1.7154e-04,210.46
16,2.002663,,1.4365e-04,219.74
17,1.97342,,1.1692e-04,211.67
18,1.944427,,9.1872e-05,210.83
19,1.925891,,6.9028e-05,210.47
20,1.905557,1.583188,4.8850e-05,209.26
21,1.893357,,3.1749e-05,217.49
22,1.881609,,1.8074e-05,212.24
23,1.874842,,8.1014e-06,212.04
24,1.869761,,2.0357e-06,211.35
25,1.8707,1.574006,0.0000e+00,209.53
