epoch,train_loss,val_loss,lr,elapsed_sec
1,6.119845,,2.6667e-04,143.97
2,3.468209,,4.0000e-04,139.71
3,3.14863,,4.0000e-04,126.02
4,3.007747,,3.9796e-04,125.9
5,2.917598,2.633813,3.9190e-04,126.18
6,2.844043,,3.8193e-04,137.91
7,2.782702,,3.6825e-04,130.73
8,2.731889,,3.5115e-04,133.39
9,2.688109,,3.3097e-04,127.2
10,2.654141,2.368649,3.0813e-04,126.04
11,2.624172,,2.8308e-04,133.95
12,2.596396,,2.5635e-04,125.73
13,2.572723,,2.2846e-04,120.0
14,2.556553,,2.0000e-04,117.81
15,2.543814,2.247713,1.7154e-04,120.9
16,2.525673,,1.4365e-04,137.44
17,2.510551,,1.1692e-04,125.16
18,2.500823,,9.1872e-05,124.03
19,2.49318,,6.9028e-05,123.38
20,2.480224,2.195523,4.8850e-05,118.65
21,2.474082,,3.1749e-05,131.7
22,2.465656,,1.8074e-05,126.97
23,2.463738,,8.1014e-06,127.75
24,2.459743,,2.0357e-06,126.21
25,2.460049,2.186524,0.0000e+00,122.99
