epoch,train_loss,val_loss,lr,elapsed_sec
1,5.493377,,2.6667e-04,163.55
2,3.365033,,4.0000e-04,159.75
3,3.103171,,4.0000e-04,156.61
4,2.969371,,3.9796e-04,155.2
5,2.874392,2.546435,3.9190e-04,156.61
6,2.79871,,3.8193e-04,164.02
7,2.737998,,3.6825e-04,152.82
8,2.691515,,3.5115e-04,153.97
9,2.648661,,3.3097e-04,150.62
10,2.614171,2.248963,3.0813e-04,150.75
11,2.587926,,2.8308e-04,156.9
12,2.56324,,2.5635e-04,150.01
13,2.538109,,2.2846e-04,148.97
14,2.520555,,2.0000e-04,148.0
15,2.503152,2.114691,1.7154e-04,144.96
16,2.484951,,1.4365e-04,153.43
17,2.467505,,1.1692e-04,145.14
18,2.449646,,9.1872e-05,144.66
19,2.439742,,6.9028e-05,142.63
20,2.425144,2.057502,4.8850e-05,141.14
21,2.418291,,3.1749e-05,151.47
22,2.407592,,1.8074e-05,142.67
23,2.404468,,8.1014e-06,137.68
24,2.402622,,2.0357e-06,140.98
25,2.398024,2.044182,0.0000e+00,143.56
